Origin,Destination,Distance_km
"Albert Embankment, Vauxhall","Albert Embankment, Vauxhall",0.0
"Albert Embankment, Vauxhall","Aldersgate Street, Barbican",3.8129
"Albert Embankment, Vauxhall","Ampton Street , Clerkenwell",4.1089
"Albert Embankment, Vauxhall","Argyle Street, Kings Cross",4.3351
"Albert Embankment, Vauxhall","Bankside Mix, Bankside",2.3189
"Albert Embankment, Vauxhall","Bath Street, St. Luke's",4.5207
"Albert Embankment, Vauxhall","Bethnal Green Road, Shoreditch",4.9698
"Albert Embankment, Vauxhall","Bolsover Street, Fitzrovia",3.9504
"Albert Embankment, Vauxhall","Borough High Street, The Borough",2.266
"Albert Embankment, Vauxhall","Boston Place, Marylebone",4.4935
"Albert Embankment, Vauxhall","Braham Street, Aldgate",4.3165
"Albert Embankment, Vauxhall","British Museum, Bloomsbury",3.1877
"Albert Embankment, Vauxhall","Brunswick Square, Bloomsbury",3.7268
"Albert Embankment, Vauxhall","Bruton Street, Mayfair",2.6984
"Albert Embankment, Vauxhall","Calshot Street , King's Cross",4.5679
"Albert Embankment, Vauxhall","Cartwright Gardens , Bloomsbury",4.0004
"Albert Embankment, Vauxhall","Chapel Place, Marylebone",3.2405
"Albert Embankment, Vauxhall","Christopher Street, Liverpool Street",4.3309
"Albert Embankment, Vauxhall","Clerkenwell Green, Clerkenwell",3.8588
"Albert Embankment, Vauxhall","Cotton Garden Estate, Kennington",1.1418
"Albert Embankment, Vauxhall","Crawford Street, Marylebone",4.0816
"Albert Embankment, Vauxhall","Crosswall, Tower",3.9415
"Albert Embankment, Vauxhall","Doric Way , Somers Town",4.3194
"Albert Embankment, Vauxhall","Drummond Street , Euston",4.2032
"Albert Embankment, Vauxhall","Drury Lane, Covent Garden",2.7062
"Albert Embankment, Vauxhall","East Road, Hoxton",4.9053
"Albert Embankment, Vauxhall","Edgware Road Station, Marylebone",4.6207
"Albert Embankment, Vauxhall","Euston Road, Euston",4.061
"Albert Embankment, Vauxhall","Eversholt Street , Camden Town",4.8315
"Albert Embankment, Vauxhall","Falkirk Street, Hoxton",5.4493
"Albert Embankment, Vauxhall","Finsbury Circus, Liverpool Street",3.8762
"Albert Embankment, Vauxhall","Finsbury Leisure Centre, St. Luke's",4.3597
"Albert Embankment, Vauxhall","Finsbury Library , Finsbury",4.2329
"Albert Embankment, Vauxhall","Finsbury Square , Moorgate",4.2593
"Albert Embankment, Vauxhall","Godliman Street, St. Paul's",2.9486
"Albert Embankment, Vauxhall","Golden Lane, Barbican",3.996
"Albert Embankment, Vauxhall","Gower Place , Euston",3.9624
"Albert Embankment, Vauxhall","Great Dover Street, The Borough",2.4353
"Albert Embankment, Vauxhall","Great Russell Street, Bloomsbury",3.0547
"Albert Embankment, Vauxhall","Guilford Street , Bloomsbury",3.664
"Albert Embankment, Vauxhall","Hampstead Road, Euston",4.047
