Number,Start date,Start station,End date,End station,Total duration,Total duration (ms),Start datetime,End datetime
137890723,2024-03-14,"Bethnal Green Road, Shoreditch",2024-03-14,"Bethnal Green Road, Shoreditch",1m 13s,73786,2024-03-14 23:17:00,2024-03-14 23:18:00
137890419,2024-03-14,"Hop Exchange, The Borough",2024-03-14,"Stamford Street, South Bank",6m 21s,381862,2024-03-14 22:46:00,2024-03-14 22:52:00
137890398,2024-03-14,"Hop Exchange, The Borough",2024-03-14,"Stamford Street, South Bank",8m 2s,482351,2024-03-14 22:44:00,2024-03-14 22:52:00
137889669,2024-03-14,"New Kent Road, The Borough",2024-03-14,"New Kent Road, The Borough",1m 14s,74649,2024-03-14 21:43:00,2024-03-14 21:44:00
137888983,2024-03-14,"Warwick Row, Westminster",2024-03-14,"Tachbrook Street, Victoria",4m 40s,280921,2024-03-14 20:50:00,2024-03-14 20:55:00
137885087,2024-03-14,"Bath Street, St. Luke's",2024-03-14,"Bethnal Green Road, Shoreditch",6m 6s,366102,2024-03-14 18:19:00,2024-03-14 18:25:00
137884890,2024-03-14,"Bethnal Green Road, Shoreditch",2024-03-14,"Bethnal Green Road, Shoreditch",10m 41s,641557,2024-03-14 18:15:00,2024-03-14 18:25:00
137884036,2024-03-14,"Bankside Mix, Bankside",2024-03-14,"Hop Exchange, The Borough",2m 13s,133108,2024-03-14 17:56:00,2024-03-14 17:58:00
137882835,2024-03-14,"Hop Exchange, The Borough",2024-03-14,"Bath Street, St. Luke's",15m 42s,942423,2024-03-14 17:32:00,2024-03-14 17:48:00
137882443,2024-03-14,"Gower Place , Euston",2024-03-14,"Bethnal Green Road, Shoreditch",20m 15s,1215151,2024-03-14 17:23:00,2024-03-14 17:43:00
137881628,2024-03-14,"Bethnal Green Road, Shoreditch",2024-03-14,"Bethnal Green Road, Shoreditch",11m 1s,661646,2024-03-14 17:03:00,2024-03-14 17:14:00
137880027,2024-03-14,"Stamford Street, South Bank",2024-03-14,"Hop Exchange, The Borough",7m 33s,453769,2024-03-14 15:55:00,2024-03-14 16:03:00
