id,name,lat,long,capacity,EndofDayBikes
869,"Albert Embankment, Vauxhall",51.4904357,-0.1228069000000005,31,19
303,"Albert Gate, Hyde Park",51.50295379,-0.158456089,43,26
185,"Alderney Street, Pimlico",51.48805753,-0.140741432,18,11
95,"Aldersgate Street, Barbican",51.5208417,-0.097340162,19,12
26,"Ampton Street , Clerkenwell",51.52728093,-0.11829517,27,17
14,"Argyle Street, Kings Cross",51.529416,-0.12394439999999918,57,35
177,"Ashley Place, Victoria",51.49616092,-0.140947636,32,20
121,"Baker Street, Marylebone",51.51891348,-0.156166631,28,17
193,"Bankside Mix, Bankside",51.50581776,-0.100186337,76,46
275,"Barbican Centre, Barbican",51.52004497,-0.092176447,24,15
119,"Bath Street, St. Luke's",51.52589324,-0.090847761,23,14
272,"Baylis Road, Waterloo",51.50144456,-0.110699309,28,17
153,"Bayswater Road, Hyde Park",51.511933,-0.174411,34,21
287,"Bedford Way, Bloomsbury",51.52367314,-0.128377673,29,18
268,"Belgrave Road, Victoria",51.49320445,-0.144132875,37,23
182,"Bell Street , Marylebone",51.52202903,-0.165842551,23,14
273,"Belvedere Road 1, South Bank",51.50613324,-0.114686385,48,29
246,"Berry Street, Clerkenwell",51.52285301,-0.099994052,52,32
132,"Bethnal Green Road, Shoreditch",51.52364804,-0.074754872,48,29
307,"Black Lion Gate, Kensington Gardens",51.50990837,-0.187842717,31,19
310,"Black Prince Road, Vauxhall",51.4908679,-0.116911864,24,15
28,"Bolsover Street, Fitzrovia",51.52351808,-0.143613641,24,15
125,"Borough High Street, The Borough",51.50069491,-0.094524319,27,17
92,"Borough Road, Elephant & Castle",51.49889832,-0.100440521,52,32
45,"Boston Place, Marylebone",51.522511,-0.162298,33,20
259,"Bourne Street, Belgravia",51.490959,-0.1532331,21,13
115,"Braham Street, Aldgate",51.51423368,-0.073537654,43,26
219,"Bramham Gardens, Earl's Court",51.49016361,-0.19039362,37,23
94,"Bricklayers Arms, Borough",51.49506109,-0.085814489,36,22
24,"British Museum, Bloomsbury",51.51908011,-0.124678402,45,27
11,"Brunswick Square, Bloomsbury",51.52395143,-0.122502346,31,19
251,"Brushfield Street, Liverpool Street",51.518908,-0.079249,43,26
44,"Bruton Street, Mayfair",51.51073687,-0.144165239,27,17
331,"Bunhill Row, Moorgate",51.52085887,-0.089887855,38,23
390,"Buxton Street 1, Shoreditch",51.521776,-0.068856,52,32
70,"Calshot Street , King's Cross",51.53136059,-0.117069978,31,19
232,"Carey Street, Holborn",51.51501025,-0.112753217,21,13
16,"Cartwright Gardens , Bloomsbury",51.52635795,-0.125979294,27,17
141,"Chapel Place, Marylebone",51.51530805,-0.147203711,37,23
220,"Chelsea Green, Chelsea",51.49066456,-0.166485083,19,12
151,"Chepstow Villas, Notting Hill",51.51213691,-0.201554966,33,20
3,"Christopher Street, Liverpool Street",51.52128377,-0.084605692,41,25
189,"Claremont Square, Angel",51.53166681,-0.109914711,23,14
291,"Claverton Street, Pimlico",51.48483991,-0.138089062,41,25
135,"Clerkenwell Green, Clerkenwell",51.52326004,-0.104708922,27,17
164,"Cleveland Gardens, Bayswater",51.515607,-0.183118788,21,13
255,"Clifton Road, Maida Vale",51.52557531,-0.179592915,28,17
40,"Commercial Street, Shoreditch",51.52127071,-0.0755789,21,13
62,"Cotton Garden Estate, Kennington",51.4907579,-0.106323685,31,19
341,"Craven Street, Strand",51.50810309,-0.12602103,29,18
43,"Crawford Street, Marylebone",51.52026,-0.157183945,23,14
104,"Crosswall, Tower",51.51159481,-0.077121322,43,26
298,"Curlew Street, Shad Thames",51.50227992,-0.074189225,27,17
397,"Devonshire Terrace, Bayswater",51.51348,-0.17977,21,13
317,"Dickens Square, Borough",51.49679128,-0.093913472,41,25
25,"Doric Way , Somers Town",51.5288338,-0.132250369,63,38
201,"Dorset Square, Marylebone",51.5225965,-0.161113413,21,13
20,"Drummond Street , Euston",51.527326,-0.13605286,36,22
18,"Drury Lane, Covent Garden",51.51477076,-0.12221963,34,21
244,"Earnshaw Street , Covent Garden",51.51611887,-0.128585022,23,14
50,"East Road, Hoxton",51.52867339,-0.087459376,34,21
330,"Eastbourne Mews, Paddington",51.51641749,-0.179135079,43,26
410,"Edgware Road Station, Marylebone",51.519968,-0.169774,81,49
288,"Elizabeth Bridge, Victoria",51.49236962,-0.147478734,43,26
309,"Embankment (Savoy), Strand",51.50963123,-0.119047563,52,32
128,"Emperor's Gate, South Kensington",51.49536226,-0.185296516,28,17
269,"Empire Square, The Borough",51.50082346,-0.089740764,58,35
214,"Endsleigh Gardens, Euston",51.52683806,-0.130504336,41,25
69,"Euston Road, Euston",51.5262363,-0.134407652,31,19
131,"Eversholt Street , Camden Town",51.53300545,-0.136792671,21,13
96,"Falkirk Street, Hoxton",51.53095071,-0.078505384,33,20
55,"Finsbury Circus, Liverpool Street",51.51707521,-0.086685542,42,26
107,"Finsbury Leisure Centre, St. Luke's",51.52600832,-0.096317627,26,16
51,"Finsbury Library , Finsbury",51.52671796,-0.104298194,37,23
140,"Finsbury Square , Moorgate",51.52096262,-0.085634242,42,26
345,"Flood Street, Chelsea",51.48802358,-0.166878535,42,26
238,"Frampton Street, Paddington",51.5233534,-0.175116099,41,25
400,"George Street, Marylebone",51.517703,-0.154106,34,21
405,"Gloucester Road Station, South Kensington",51.49418566,-0.18267094,19,12
243,"Gloucester Street, Pimlico",51.49096258,-0.139625122,32,20
176,"Gloucester Terrace, Bayswater",51.51791921,-0.188098863,29,18
48,"Godliman Street, St. Paul's",51.51248445,-0.099141408,32,20
54,"Golden Lane, Barbican",51.52174785,-0.094475072,34,21
344,"Goswell Road (City Uni), Finsbury",51.528246,-0.10102611,22,14
65,"Gower Place , Euston",51.52522753,-0.13518856,22,14
326,"Graham Street, Angel",51.53266186,-0.099981142,33,20
61,"Great Dover Street, The Borough",51.49738251,-0.089446947,42,26
15,"Great Russell Street, Bloomsbury",51.51772703,-0.127854211,33,20
199,"Great Tower Street, Monument",51.51048489,-0.082989638,31,19
207,"Grosvenor Crescent, Belgravia",51.50135267,-0.153194766,23,14
245,"Grosvenor Road, Pimlico",51.4853572,-0.142207481,37,23
312,"Grove End Road, St. John's Wood",51.53088935,-0.176770502,26,16
57,"Guilford Street , Bloomsbury",51.52334672,-0.120202614,41,25
98,"Hampstead Road, Euston",51.52554222,-0.138231303,68,41
152,"Hampton Street, Walworth",51.49217002,-0.101536865,27,17
170,"Hardwick Street, Clerkenwell",51.5278427,-0.1080682,38,23
249,"Harper Road, The Borough",51.49859784,-0.096191134,53,32
90,"Harrington Square 1, Camden Town",51.53301907,-0.139174593,34,21
67,"Hatton Garden, Holborn",51.51882555,-0.108028472,36,22
17,"Hatton Wall, Holborn",51.5216612,-0.109006325,33,20
29,"Hereford Road, Bayswater",51.513735,-0.193487,28,17
358,"High Holborn , Covent Garden",51.516226,-0.124826,26,16
66,"Holborn Circus, Holborn",51.51795029,-0.108657431,51,31
150,"Holy Trinity Brompton, Knightsbridge",51.49705603,-0.168917077,36,22
194,"Hop Exchange, The Borough",51.50462759,-0.091773776,71,43
221,"Horseferry Road, Westminster",51.49481649,-0.13045856,21,13
191,"Hyde Park Corner, Hyde Park",51.50311799,-0.153520935,46,28
145,"Ilchester Place, Kensington",51.50074359,-0.202759212,31,19
392,"Imperial College, Knightsbridge",51.49942855,-0.179702476,27,17
102,"Jewry Street, Aldgate",51.51340693,-0.076793375,22,14
144,"Kennington Cross, Kennington",51.48894022,-0.111435796,60,36
868,"Kennington Lane Rail Bridge, Vauxhall",51.4863434,-0.12249239999999872,39,24
149,"Kennington Road Post Office, Oval",51.48478899,-0.110683213,23,14
235,"Kennington Road, Vauxhall",51.49571828,-0.110889274,46,28
277,"Kensington Church Street, Kensington",51.50315739,-0.191496313,22,14
258,"Kensington Gore, Knightsbridge",51.50143293,-0.178656971,29,18
293,"Kensington Olympia Station, Olympia",51.49815779,-0.209494128,32,20
283,"Kingsway, Covent Garden",51.51440928,-0.118478757,21,13
222,"Knightsbridge, Hyde Park",51.50275704,-0.155349725,55,33
200,"LMU Commercial Road, Whitechapel",51.51492456,-0.066078037,18,11
262,"LSBU (Borough Road), Elephant & Castle",51.49874469,-0.103132904,45,27
284,"Lambeth North Station, Waterloo",51.49914063,-0.112031483,26,16
139,"Lambeth Road, Vauxhall",51.49488108,-0.117974901,23,14
202,"Leman Street, Aldgate",51.51236389,-0.06954201,47,29
865,"Leonard Circus , Shoreditch",51.5246962,-0.08443930000001387,55,33
155,"Lexham Gardens, Kensington",51.49586666,-0.191933711,24,15
60,"Lisson Grove, St. John's Wood",51.52644828,-0.172190727,23,14
116,"Little Argyll Street, West End",51.51449962,-0.141423695,27,17
234,"Liverpool Road (N1 Centre), Angel",51.53450449,-0.106992706,31,19
117,"Lollard Street, Vauxhall",51.49288067,-0.114934001,32,20
343,"London Zoo Car Park, The Regent's Park",51.53692216,-0.150181444,46,28
271,"London Zoo,  The Regent's Park",51.53583617,-0.156285395,41,25
308,"Long Lane , Bermondsey",51.49907558,-0.085666316,26,16
76,"Longford Street, The Regent's Park",51.52559505,-0.144083893,27,17
870,"Lower Marsh, Waterloo",51.5001394,-0.11393599999999537,22,14
276,"Lower Thames Street, Monument",51.50930161,-0.084985356,31,19
351,"Macclesfield Rd, St Lukes",51.529423,-0.097122,36,22
12,"Malet Street, Bloomsbury",51.52168078,-0.130431727,62,38
208,"Mallory Street, Marylebone",51.52505151,-0.166304359,26,16
301,"Marylebone Lane, Marylebone",51.51475963,-0.148105415,31,19
